title,dataset_id,creator,url,last_updated,is_private,description,citation,tabular_files,tabular_total_MB,image_files,medical_image_files,video_files,audio_files,other_files,keep_pre,score_hint,note
clinical lab parameters covid,plarmuseau/forecast-covid-death,,https://www.kaggle.com/datasets/plarmuseau/forecast-covid-death,2020-11-16T12:49:12.92Z,,create an interpretable mortality  ☠ prediction model for COVID-19 patients,Kaggle Dataset: clinical lab parameters covid. Available at: https://www.kaggle.com/datasets/plarmuseau/forecast-covid-death,8,0.0,0,0,0,0,9,True,4,
Heart Failure Prediction,andrewmvd/heart-failure-clinical-data,,https://www.kaggle.com/datasets/andrewmvd/heart-failure-clinical-data,2020-06-20T01:03:20.94Z,,12 clinical features por predicting death events.,Kaggle Dataset: Heart Failure Prediction. Available at: https://www.kaggle.com/datasets/andrewmvd/heart-failure-clinical-data,1,0.0,0,0,0,0,0,True,2,
COVID-19 - Clinical Data to assess diagnosis,Sírio-Libanes/covid19,,https://www.kaggle.com/datasets/Sírio-Libanes/covid19,2020-06-22T19:42:24.28Z,,Sírio-Libanês data for AI and Analytics by Data Intelligence Team,Kaggle Dataset: COVID-19 - Clinical Data to assess diagnosis. Available at: https://www.kaggle.com/datasets/Sírio-Libanes/covid19,1,0.0,0,0,0,0,0,True,2,
Predict survival of patients with heart failure,rabieelkharoua/predict-survival-of-patients-with-heart-failure,,https://www.kaggle.com/datasets/rabieelkharoua/predict-survival-of-patients-with-heart-failure,2024-04-25T10:21:47.907Z,,Heart Failure Clinical Records,Kaggle Dataset: Predict survival of patients with heart failure. Available at: https://www.kaggle.com/datasets/rabieelkharoua/predict-survival-of-patients-with-heart-failure,1,0.0,0,0,0,0,0,True,2,
 Diagnosis of COVID-19 and its clinical spectrum,einsteindata4u/covid19,,https://www.kaggle.com/datasets/einsteindata4u/covid19,2020-03-27T22:46:08.53Z,,AI and Data Science supporting clinical decisions (from 28th Mar to 3st Apr),Kaggle Dataset:  Diagnosis of COVID-19 and its clinical spectrum. Available at: https://www.kaggle.com/datasets/einsteindata4u/covid19,1,0.0,0,0,0,0,0,True,2,
Cirrhosis Patient Survival Prediction,joebeachcapital/cirrhosis-patient-survival-prediction,,https://www.kaggle.com/datasets/joebeachcapital/cirrhosis-patient-survival-prediction,2023-10-17T23:37:59.443Z,,Utilize 17 clinical features to predict survival of patient with liver cirrhosis,Kaggle Dataset: Cirrhosis Patient Survival Prediction. Available at: https://www.kaggle.com/datasets/joebeachcapital/cirrhosis-patient-survival-prediction,1,0.0,0,0,0,0,0,True,2,
Non-alcohol fatty liver disease (NAFLD),utkarshx27/non-alcohol-fatty-liver-disease,,https://www.kaggle.com/datasets/utkarshx27/non-alcohol-fatty-liver-disease,2023-05-09T11:22:22.823Z,,"Non-Alcoholic Fatty Liver Disease Study: Clinical, Metabolic, and Outcome",Kaggle Dataset: Non-alcohol fatty liver disease (NAFLD). Available at: https://www.kaggle.com/datasets/utkarshx27/non-alcohol-fatty-liver-disease,3,0.0,0,0,0,0,0,True,2,
Sepsis Survival Minimal Clinical Records,mathurinache/sepsis-survival-minimal-clinical-records,,https://www.kaggle.com/datasets/mathurinache/sepsis-survival-minimal-clinical-records,2023-07-20T11:51:50.153Z,,Primary cohort from Norway,Kaggle Dataset: Sepsis Survival Minimal Clinical Records. Available at: https://www.kaggle.com/datasets/mathurinache/sepsis-survival-minimal-clinical-records,3,0.0,0,0,0,0,0,True,2,
Heart Disease,amirmahdiabbootalebi/heart-disease,,https://www.kaggle.com/datasets/amirmahdiabbootalebi/heart-disease,2023-11-11T17:40:51.827Z,,Analyzing Factors Contributing to Heart Disease Diagnosis,Kaggle Dataset: Heart Disease. Available at: https://www.kaggle.com/datasets/amirmahdiabbootalebi/heart-disease,1,0.0,0,0,0,0,0,True,2,
Clinical Dataset,imtkaggleteam/clinical-dataset,,https://www.kaggle.com/datasets/imtkaggleteam/clinical-dataset,2023-10-05T12:11:12.04Z,,Clinical data for both discovery and validation cohorts,Kaggle Dataset: Clinical Dataset. Available at: https://www.kaggle.com/datasets/imtkaggleteam/clinical-dataset,2,0.0,0,0,0,0,0,True,0,
